persona,domain,scale,mean,sd,cv,min,max,range,n_models
ENTP,Aggression-Hostility,ZKPQ-50-CC,0.781,0.07860661549767933,0.10064867541316175,0.62,1.0,0.38,20
ENTP,Impulsive_Sensation_Seeking,ZKPQ-50-CC,0.954,0.042941821107167766,0.045012391097660136,0.9,1.0,0.09999999999999998,20
ENTP,Neuroticism-Anxiety,ZKPQ-50-CC,0.035,0.03993745109543172,1.1410700312980488,0.0,0.12,0.12,20
ENTP,Sociability,ZKPQ-50-CC,0.8949999999999999,0.07262919523166975,0.08114993880633492,0.74,1.0,0.26,20
ENTP,Psychoticism,EPQR-A,0.620005,0.10873168110077208,0.1753722649023348,0.3667,0.7667,0.4,20
ENTP,Extraversion,EPQR-A,1.0,0.0,0.0,1.0,1.0,0.0,20
ENTP,Neuroticism,EPQR-A,0.10834500000000002,0.06822858253693975,0.6297344827812981,0.0,0.2,0.2,20
ENTP,Lie,EPQR-A,0.03,0.06137317818070039,2.0457726060233465,0.0,0.2333,0.2333,20
ENFJ,Neuroticism,IPIP-NEO-120,2.1454099999999996,0.2763702514743582,0.12881931727472057,1.6667,2.9333,1.2666,20
ENFJ,Extraversion,IPIP-NEO-120,4.4070800000000006,0.0949215286434011,0.021538417420015315,4.25,4.525,0.27500000000000036,20
ENFJ,Openness,IPIP-NEO-120,4.23791,0.14405563820968617,0.03399214193073618,4.0,4.6083,0.6082999999999998,20
ENFJ,Agreeableness,IPIP-NEO-120,4.640835,0.10071992491557966,0.021702974769751488,4.4583,4.8333,0.375,20
ENFJ,Conscientiousness,IPIP-NEO-120,4.471259999999999,0.16738382956546308,0.037435494595586725,4.2167,4.6917,0.47499999999999964,20
ENFJ,Machiavellianism,SD3,1.7777700000000003,0.3021685011711181,0.1699705255298031,1.3111,2.3333,1.0222,20
ENFJ,Narcissism,SD3,3.8922350000000003,0.22806034349487422,0.05859367265719418,3.5111,4.4,0.8889000000000005,20
ENFJ,Psychopathy,SD3,1.3244399999999996,0.21902589207671316,0.16537245332118725,1.0889,1.9333,0.8444,20
ENFJ,Activity,ZKPQ-50-CC,0.943,0.07218725649309578,0.0765506431528057,0.72,1.0,0.28,20
ENFJ,Aggression-Hostility,ZKPQ-50-CC,0.15100000000000002,0.06048966853934646,0.4005938313864003,0.1,0.28,0.18000000000000002,20
ENFJ,Impulsive_Sensation_Seeking,ZKPQ-50-CC,0.41899999999999993,0.24951753445399383,0.5955072421336369,0.1,1.0,0.9,20
ENFJ,Neuroticism-Anxiety,ZKPQ-50-CC,0.38,0.12489995996796796,0.32868410517886304,0.2,0.6,0.39999999999999997,20
ENFJ,Sociability,ZKPQ-50-CC,0.9709999999999999,0.04537620521815371,0.04673141629058056,0.86,1.0,0.14,20
ENFJ,Psychoticism,EPQR-A,0.10835499999999998,0.07140631257108856,0.6590033922854375,0.0,0.1667,0.1667,20
ENFJ,Extraversion,EPQR-A,1.0,0.0,0.0,1.0,1.0,0.0,20
ENFJ,Neuroticism,EPQR-A,0.6399999999999999,0.1376715112141942,0.21511173627217844,0.3333,0.8333,0.5,20
ENFJ,Lie,EPQR-A,0.62166,0.1758321824922844,0.2828430050064093,0.2667,0.8333,0.5666,20
ENFP,Neuroticism,IPIP-NEO-120,2.495405,0.27222768866336866,0.10909158580004796,2.0667,3.3,1.2332999999999998,20
ENFP,Extraversion,IPIP-NEO-120,4.671255,0.12348235693814726,0.026434514266112052,4.3833,4.875,0.4916999999999998,20
