subset,model,actual_persona,predicted_z_euclidean,distance_z_euclidean,margin_z_euclidean,correct_z_euclidean,predicted_cosine,distance_cosine,margin_cosine,correct_cosine,predicted_mahalanobis,distance_mahalanobis,margin_mahalanobis,correct_mahalanobis
all,DeepSeek-V4-Flash,INTJ,INTJ,0.2858301244265267,0.5608183597362639,True,INTJ,0.03397534659568213,0.40783705198858855,True,INTJ,0.4863934660373722,0.33515533920540364,True
all,DeepSeek-V4-Flash,ISTP,ISTP,0.3018224832512953,0.4075650749651876,True,ISTP,0.07280162033161064,0.2923857721925013,True,ISTP,0.5271562285767731,0.2588255040927102,True
all,DeepSeek-V4-Flash,ISFP,ISFP,0.3398147989397174,0.25435986415483464,True,ISFP,0.0644655892761653,0.048904023288643406,True,ISFP,0.6173460907826778,0.19334268080384964,True
all,DeepSeek-V4-Flash,INFP,INFP,0.32876762720498187,0.20034728884762276,True,INFP,0.04023127267964699,0.10647600003193591,True,INFP,0.7017941784670451,0.16215780703912497,True
all,DeepSeek-V4-Flash,INTP,INTP,0.2801788898276902,0.2902955091703506,True,INTP,0.05355434343993859,0.18687327792668706,True,INTP,0.6001408338324641,0.3049384288548791,True
all,DeepSeek-V4-Flash,ESTP,ESTP,0.5865451473644063,0.21861758400768583,True,ESTP,0.04530745631276423,0.0692205504993686,True,ESTP,0.7047211363995335,0.23844155573296266,True
all,DeepSeek-V4-Flash,ESFP,ESFP,0.4694307976277551,0.11392672154198402,True,ESFP,0.11198773517811889,0.009833355140171696,True,ESFP,0.6347231712917304,0.0320880687723647,True
all,DeepSeek-V4-Flash,ENFP,ENFP,0.37654093052295134,0.3939765604610832,True,ENFP,0.05499927987750042,0.20824812870917575,True,ENFP,0.6737674652599507,0.11761864422970536,True
all,DeepSeek-V4-Flash,ENTP,ENTP,0.26717742355418495,0.37527414423158423,True,ENTP,0.015819910782031155,0.10269240758647469,True,ENTP,0.5997539970138145,0.29406526035990266,True
all,DeepSeek-V4-Flash,ESTJ,ESTJ,0.23590158543314066,0.3375802421633899,True,ESTJ,0.02264388497057901,0.12970376211344015,True,ESTJ,0.4705640671510828,0.29781679933050376,True
all,DeepSeek-V4-Flash,ESFJ,ESFJ,0.30985247655069925,0.3393552025174522,True,ESFJ,0.06288472391117461,0.2243884468063323,True,ESFJ,0.58764931015301,0.31627339454557446,True
all,DeepSeek-V4-Flash,ENFJ,ENFJ,0.2946065097853552,0.38454541345078497,True,ENFJ,0.04878413549575733,0.2396897717765848,True,ENFJ,0.5469705963875621,0.2751702099117127,True
